course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
ACC,200,Accounting Internship,"Supervised on-the-job experience in the business community in an accounting-related capacity. Comprehensive report by students, meeting with faculty advisor, and performance evaluation from employer required.",3,Accounting,141565,attributes: GCC; prerequisites: Instructor's Consent
ACC,201,Intro to Financial Accounting,"An introduction to accounting principles and practices used to record and communicate financial information. Analyze methods for valuing assets, liabilities, and equity of an organization.",3,Accounting,141565,Course Number: ACC 201; Course Title: Intro to Financial Accounting; Prerequisites: 15 or more credits at the college level
ACC,202,Intro to Managerial Accounting,"An introduction to managerial accounting methods for evaluating performance including cost accounting, budgeting, break-even analysis, standard cost systems and reporting for internal decision making.",3,Accounting,141565,course_name: Intro to Managerial Accounting; course_number: ACC 202; prerequisites: ACC 201
ACC,350,Intermediate Acc I,The accounting process and the application of generally accepted accounting principles to assets and liabilities. Emphasis upon accounting theory.,3,Accounting,141565,Prerequisites: ACC 202; successful completion of 45 college credits
ACC,351,Intermediate Acc II,"The application of generally accepted accounting principles to accounting for owner's equity, long-term investments and debt, funds flow, and financial statement analysis.",3,Accounting,141565,Course Number: ACC 351; Course Title: Intermediate Acc II; Prerequisites: C or better in ACC 350
ACC,352,Individual &amp; Business Taxation,"Principles and practices involved in the determination of federal income taxation and tax planning as it applies to individuals and businesses including the concept of gross income, exclusions, deductions, credits, property transactions and sole proprietorships.",3,Accounting,141565,"course_name: Individual & Business Taxation; course_number: ACC 352; prerequisites: C or better in ACC 202, ACC 350, and ACC 351"
ACC,353,Cost Accounting,"Cost accounting system output relevant to managerial decision making, planning and control. Topics include job order and process costing, direct and standard cost systems, with emphasis on application and analysis of cost.",3,Accounting,141565,"course_name: Cost Accounting; course_number: ACC 353; prerequisites: C or better in ACC 202, ACC 350, and ACC 351"
ACC,354,Business Software,"Practical applications of general ledger/bookkeeping for small businesses. Focus will be on basic Accounting Information Systems concepts, internal controls, accounting tasks, and comparative product analysis.",3,Accounting,141565,Prerequisites: C or better in ACC 202; C or better or concurrent enrollment in ACC 350; successful completion of 45 college credits
ACC,355,Advanced Topics in Taxation,"Advanced topics in taxation at the discretion of the instructor. Topics might include tax planning for individual and business owners, estate planning, gift taxes, or other current topics in taxation.",3,Accounting,141565,Prerequisites: C or better ACC 352
ACC,358,Governmental Accounting,"Accounting principles as applied to nonprofit organizations, including government. Emphasis on budgetary control and fund accounting.",3,Accounting,141565,Course Number: ACC 358; Course Title: Governmental Accounting; Prerequisites: C or better in ACC 350
ACC,450,Advanced Accounting,"The application of generally accepted accounting principles to specialized accounting entities: partnerships, branches, affiliated companies, estates and trusts; and to special topics including consolidations.",3,Accounting,141565,course_name: Advanced Accounting; course_number: ACC 450; prerequisites: ACC 351
ACC,454,Auditing,"Auditing concepts including standards, objectives, and ethics for external auditors. Emphasis on reporting standards, internal control, evidence, and statistical sampling.",3,Accounting,141565,Prerequisites: C or better in ACC 351
ACC,455,IT Audit,"Audits of accounting information systems, including enterprise systems.   Generally accepted IT audit standards, frameworks, tools and methods.  Includes the study and use of computer-assisted audit tools and techniques (CAATTS).",3,Accounting,141565,course_name: IT Audit; course_number: ACC 455; prerequisites: ACC 454
ACC,456,Advanced Auditing,This is a case-based auditing course that expands on topics introduced in Audit. The primary focus of this course is Fraud Examination and Forensic Accounting. Students will examine cases involving current and classic frauds as well as learning the requirements for collecting evidence for court.,3,Accounting,141565,course_name: Advanced Auditing; course_number: ACC 456; prerequisites: ACC 454
AERS,151,Introduction to Aerodynamics,"The core principles of aircraft flight are examined. Students become familiar with airfoils, wings, different flight profiles and atmospheric effects on aircraft performance. Students will develop and analyze simulations of airfoils and wings.",3,Aeronautical Sciences,141565,Course: AERS 151; Course Title: Introduction to Aerodynamics
AERS,152,Introduction to UAS,"Survey of unmanned aircraft systems (UAS) emphasizing the commercial history including sections on hobby and military applications. Students learn operational principles, laws, and theory.",3,Aeronautical Sciences,141565,course_name: Introduction to UAS; course_number: AERS 152
