course_prefix,course_number,course_title,course_desc,dept_name,inst_ipeds,metadata
Com,2158,"Certified Cisco Networking Associate - CCNA2 v7 (Switching, Routing and Wireless Essentials) Online","This course focuses on switching technologies and router operations that support small-to-medium business networks, including wireless local area networks (WLAN) and security concepts. In this second course in a 3-course CCNA series you’ll perform basic network configuration and troubleshooting, identify and mitigate LAN security threats, and configure and secure a basic WLAN. After completing all three CCNA courses, you are ready to take the CCNA Certification.",Pacific Center for Advanced Technology Training,383190,"Course Outline: This course focuses on switching technologies and router operations that support small-to-medium business networks, including wireless local area networks (WLAN) and security concepts. In this second course in a 3-course CCNA series you’ll perform basic network configuration and troubleshooting, identify and mitigate LAN security threats, and configure and secure a basic WLAN. After completing all three CCNA courses, you are ready to take the CCNA Certification.

Learner Outcomes: At the end of the course, you will be able to:Work with routers, switches and wireless devices to configure and troubleshoot VLANs, Wireless LANs and Inter-VLAN routing.Configure and troubleshoot redundancy on a switched network using STP and EtherChannel.Develop critical thinking and problem-solving skills using real equipment and Cisco Packet Tracer.Explain how to support available and reliable networks using dynamic addressing and first-hop redundancy protocols.

Prerequisites: 1. Completion of CCNA: Introduction to Networks or equivalent knowledge.2. Ability to build simple LANs, perform basic configurations for routers and switches, and implement IPv4 and IPv6 addressing schemes.3. Configure routers, switches, and end devices to provide access to local and remote network resources and to enable end-to-end connectivity between remote devices.4. Configure and troubleshoot connectivity on a small network using security best practices.5. Must have a computer/laptop with a camera and microphone and robust Internet.

Section Notes: Expect 3 hours per day for independent study. Must be able to study independently and work collaboratively as part of a team, have a strong motivation to learn, and interest in a career in Information Technology.Equipment needs: Must have access to a computer/laptop with Windows as well as robust Internet access to complete assignments. A Chromebook is not adequate for this training.Skill requirements: Completion of CCNAv7: Introduction to Networks or equivalent knowledge and experience."
Com,2159,"CCNA 3: Enterprise Networking, Security, and Automation","Large enterprises depend heavily on the smooth operation of their network infrastructures. This is why networking professionals are vital to every organization and those with networking skills can land a great job and set their sights on a rewarding career! This third course in the 3-course CCNA series describes the architectures and considerations related to designing, securing, operating, and troubleshooting enterprise networks. It covers wide area network (WAN) technologies and quality of service (QoS) mechanisms used for secure remote access along with the introduction of software-defined networking, virtualization, and automation concepts that support the digitalization of networks.
This course prepares participants for networking analyst and engineering positions. Tuition covers a certification exam voucher for the CCNA certification.
Required prep: Completion of CCNA 1 v7 (Introduction to Networks) and CCNA 2 v7 (Switching, Routing and Wireless Essentials) or equivalent knowledge and experience",Pacific Center for Advanced Technology Training,383190,"Course Outline: This third course in the 3-course CCNA series describes the architectures and considerations related to designing, securing, operating, and troubleshooting enterprise networks. It covers wide area network (WAN) technologies and quality of service (QoS) mechanisms used for secure remote access along with the introduction of software-defined networking, virtualization, and automation concepts that support the digitalization of networks.

Learner Outcomes: At the end of the course, you will be able to:Work with routers, switches and wireless devices to configure and troubleshoot VLANs, Wireless LANs and Inter-VLAN routing.Configure and troubleshoot redundancy on a switched network using STP and EtherChannel.Develop critical thinking and problem-solving skills using real equipment and Cisco Packet Tracer.Explain how to support available and reliable networks using dynamic addressing and first-hop redundancy protocols.

Prerequisites: 1. Completion of CCNA 1 v7 (Introduction to Networks) and CCNA 2 v7 (Switching, Routing and Wireless Essentials) or equivalent knowledge and experience.2. Experience and/or knowledge working with routers, switches and wireless devices to configure and troubleshoot VLANs, Wireless LANs and Inter-VLAN routing.3. Ability to configure and troubleshoot redundancy on a switched network using STP and EtherChannel.4. Ability to explain how to support available and reliable networks using dynamic addressing and first-hop redundancy protocols.5. Must have a computer/laptop with a camera and microphone and robust Internet.

Section Notes: Expect 3 hours per day for independent study. This final course prepares candidates for the 200-301 CCNA certification exam. Participants are expected to take the certification exam.Equipment needs: Must have access to a computer/laptop with Windows as well as robust Internet access to complete assignments. A Chromebook is not adequate for this training.Skill requirements: Completion of CCNAv7: Introduction to Networks and CCNA 2 v7 (Switching, Routing and Wireless Essentials) or equivalent knowledge and experience"
Com,2162,AWS Solutions Architect - Associate,"This intermediate-level course covers the fundamentals of building IT infrastructure on AWS and helps participants gain the skills they need to pursue the AWS Certified Solutions Architect – Associate certification. This course contains approximately 40 hours of content delivered through lectures, hands-on labs, and project work. 
The abilities validated by the AWS Solutions Architect - Associate certification are covered in this training:
Effectively demonstrate knowledge of how to architect and deploy secure and robust applications on AWS technologies
Define a solution using architectural design principles based on customer requirements
Provide implementation guidance based on best practices to the organization throughout the life cycle of the project
The AWS Certified Solutions Architect - Associate examination is intended for individuals who perform a solutions architect role and have one or more years of hands-on experience designing available, cost-efficient, fault-tolerant, and scalable distributed systems on AWS.
Honolulu Community College is an AWS Academic Academy using curriculum and resources developed by AWS. Materials are continually updated by AWS for optimal  learning.",Pacific Center for Advanced Technology Training,383190,
Com,2163,AWS Cloud Foundations,"This course provides an overall understanding of the Amazon Web Services (AWS) Cloud, independent of specific technical roles. You will learn about AWS cloud concepts, AWS core services, security, architecture, pricing, and support to build your AWS Cloud knowledge. It contains 20 hours of course content and prepares participants to pursue an AWS Certified Cloud Practitioner certification.",Pacific Center for Advanced Technology Training,383190,
Com,2184,Tech+ Certification Training and Exam Prep,"CompTIA Tech+ is the essential certification that equips you with the foundational knowledge needed to thrive in today's digital world. With a comprehensive curriculum covering everything from basic concepts and security to software development, CompTIA Tech+ provides a well-rounded education that's easy to apply in any learning environment. Whether you're a student, a career changer, or a lifelong learner, CompTIA Tech+ can help you gain the skills and confidence to succeed in the tech industry. Through hands-on simulations and exposure to emerging technologies like AI and robotics, you'll acquire the practical knowledge and expertise necessary to stand out in the competitive tech job market. The CompTIA Tech+ certification is considered good for life and does not need to be renewed.",Pacific Center for Advanced Technology Training,383190,
Com,2164,A+ Computer Training and Certification Prep,"A+ is a good starting point for entering a career in Information Technology as it provides foundational skills and knowledge.
Topics covered include:
Hardware - Identifying, using, and connecting hardware components and devices
Operating Systems - Installing and supporting Windows OS including command line and client support. Understanding Mac OS, Linux, and mobile OS
Software Troubleshooting - Troubleshooting PC and mobile device issues including application security support
Networking - Explaining types of networks and connections including TCP/IP, WiFi, and SOHO
Hardware and Network Troubleshooting - Troubleshooting device and network issues
Security - Identifying and protecting against security vulnerabilities for devices and their network connections
Mobile Devices - Installing and configuring laptops and other mobile devices
Virtualization and Cloud Computing - Comparing and contrasting cloud computing concepts and set up client-side virtualization
Operational Procedures - Following best practices for safety, environmental impacts, and communication and professionalism
Jobs that use knowledge gained in an A+ course include Help Desk Technician, Technical Support Specialist, Service Desk Analyst, Data Support Technician, and others. It is recommended that you consider continued learning in related areas such as Networking and Security.
Training is distance-delivered via Zoom with a combination of live lectures, readings, and labs. Many hours of independent self-study are expected outside of class meetings.
This course prepares you for the two parts of the CompTIA A+ certification. Although test prep for the certification exams is covered in class, additional study is needed. Certification exams which are included in this training are scheduled at the end of the course. Participants must report their test dates and exam results.",Pacific Center for Advanced Technology Training,383190,"Course Outline: A+ is a good starting point for entering a career in Information Technology as it provides foundational skills and knowledge. Topics include, hardware, operating systems, software troubleshooting, networking, security, mobile devices, virtualization and Cloud computing, and operational procedures. This course prepares you for the two parts of the CompTIA A+ certification. Although test prep for the certification exams is covered in class, additional study is needed.

Learner Outcomes: - Hardware - Identifying, using, and connecting hardware components and devices- Operating Systems - Installing and supporting Windows OS including command line and client support. Understanding Mac OS, Linux, and mobile OS- Software Troubleshooting - Troubleshooting PC and mobile device issues including application security support- Networking - Explaining types of networks and connections including TCP/IP, WiFi, and SOHO- Hardware and Network Troubleshooting - Troubleshooting device and network issues- Security - Identifying and protecting against security vulnerabilities for devices and their network connections- Mobile Devices - Installing and configuring laptops and other mobile devices- Virtualization and Cloud Computing - Comparing and contrasting cloud computing concepts and set up client-side virtualization- Operational Procedures - Following best practices for safety, environmental impacts, and communication and professionalism

Prerequisites: 1. Must be a strong computer user and be familiar with IT terminology. Helpful to have some experience with hardware and operating systems.2. Completion of IT Fundamentals or equivalent knowledge is required.3. Must have a computer/laptop with a camera and microphone and robust Internet.

Section Notes: Expect 3 hours per day self-study including weekends.Additional Skills: Ability to study independently and work collaboratively as part of a team, strong motivation to learn, interest in Information Technology, time to participate in an internship or apprenticeship."
Com,2124,Network+ Training and Certification Prep,"Network+ prepares you for a career in IT infrastructure. Knowing how to install, configure, operate, manage, maintain, and troubleshoot a computer network is a highly marketable and exciting skill.
Topics covered include:
Networking Concepts - Explain the purpose of a variety of networking concepts and implement them appropriately
Infrastructure - Determine and explain appropriate cabling, device, and storage technologies
Network Operations - Use best practices to manage the network, determine policies, and ensure business continuity
Network Security - Summarize physical security and common attacks while securing the wired and wireless network
Network Troubleshooting and Tools - Explain the network troubleshooting methodology and appropriate tools to support connectivity and performance
After completing this course and the accompanying hands-on lab exercises, you will be prepared to select the best network design, hardware, and software for your environment. You will also have the skills to build a network from scratch and maintain, upgrade, troubleshoot, and manage an existing network.
Training is distance-delivered via Zoom with a combination of live lectures, readings, and labs. Many hours of independent self-study are expected outside of class meetings.
This course prepares you for the CompTIA Network+ certification. Although test prep for the certification exams is covered in class, additional study is needed. Certification exam which is included in this training is scheduled at the end of the course. Participants must report their test date and exam results.",Pacific Center for Advanced Technology Training,383190,"Course Outline: Network+ prepares you for a career in IT infrastructure. Knowing how to install, configure, operate, manage, maintain, and troubleshoot a computer network is a highly marketable and exciting skill. This course prepares you for the CompTIA Network+ certification. Although test prep for the certification exams is covered in class, additional study is needed.

Learner Outcomes: Networking Concepts - Explain the purpose of a variety of networking concepts and implement them appropriatelyInfrastructure - Determine and explain appropriate cabling, device, and storage technologiesNetwork Operations - Use best practices to manage the network,determine policies, and ensure business continuityNetwork Security - Summarize physical security and common attacks while securing the wired and wireless networkNetwork Troubleshooting and Tools - Explain the network troubleshooting methodology and appropriate tools to support connectivity and performance

Prerequisites: 1. Evidence of A+ certification or equivalent knowledge is required.2. Network-related IT experience is helpful but not necessary.3. Must have a computer/laptop with a camera and microphone and robust Internet to complete assignments.

Section Notes: "
Com,2036,Security+ Training and Certification Prep,"Security+ is a great course for people who want to begin their cybersecurity career. It establishes the core knowledge required of any cybersecurity role and provides a springboard to intermediate-level cybersecurity jobs. Security+ incorporates best practices in hands-on trouble-shooting to ensure security professionals have practical security problem-solving skills. Cybersecurity professionals with Security+ know how to address security incidents - not just identify them.
This Security+ course is taught with a practical approach to prepare you for the certification exam and for skills required on the job. You will apply general security concepts to real world scenarios. Competencies match the CompTIA certification exam areas. Topics covered include:
Threats, Attacks, and Vulnerabilities - Detect various types of compromise and have an understanding of penetration testing and vulnerability scanning concepts
Technologies and Tools - Install, configure, and deploy network components while assessing and troubleshooting issues to support organizational security
Architecture and Design - Implement secure network architecture concepts and systems design
Identity and Access Management - Install and configure identity and access services, as well as management controls
Risk Management - Implement and summarize risk management best practices and the business impact
Cryptography and PKI - Understanding of basic cryptographic concepts, algorithms, and functions. Install and configure wireless security settings and implement public key infrastructure.
Training is distance-delivered via Zoom with a combination of live lectures, readings, and labs. Many hours of independent self-study are expected outside of class meetings.
This course prepares you for the CompTIA Security+ certification. Although test prep for the certification exams is covered in class, additional study is needed. Certification exam which is included in this training is scheduled at the end of the course. Participants must report their test date and exam results.",Pacific Center for Advanced Technology Training,383190,"Course Outline: Security+ establishes the core knowledge required of any cybersecurity role. You will learn best practices in hands-on trouble-shooting to develop practical security problem-solving skills. Required preparation: Completion of A+ and Network+ training and certification or equivalent knowledge and experience is required. Two years of IT administration experience in a professional environment with emphasis on security and Network+ or equivalent knowledge is very helpful.

Learner Outcomes: Threats, Attacks, and Vulnerabilities - Detect various types of compromise and have an understanding of penetration testing and vulnerability scanning conceptsTechnologies and Tools - Install, configure, and deploy network components while assessing and troubleshooting issues to support organizational securityArchitecture and Design - Implement secure network architecture concepts and systems designIdentity and Access Management - Install and configure identity and access services, as well as management controlsRisk Management - Implement and summarize risk management best practices and the business impactCryptography and PKI - Understanding of basic cryptographic concepts, algorithms, and functions. Install and configure wireless security settings and implement public key infrastructure

Prerequisites: 1. Completion of A+ and Network+ training and certification or equivalent knowledge and experience is required.2. Two years of IT administration experience in a professional environment with emphasis on security is very helpful.3. Must have a computer/laptop with a camera and microphone and robust Internet to complete assignments.

Section Notes: No Meeting: September 1st"
Com,2178,CASP+ Training and Certification Prep,"CASP+ Training and Certification Prep CompTIA Advanced Security Practitioner (CASP)+ is an advanced level cyber security certification for security architects and senior security engineers charged with leading and improving an enterprise’s cybersecurity readiness. They are able to work in traditional, cloud, and hybrid environments, have governance, risk, and compliance skills, are expected to assess an enterprise’s cybersecurity readiness, and lead technical teams to implement enterprise-wide cybersecurity solutions.
Course topics include:
Security architecture
Security operations
Governance, risk, and compliance
Security engineering and cryptography
CASP+ is compliant with ISO 17024 standards and approved by the US DoD to meet directive 8140/8570.01-M requirements. Regulators and governments rely on ANSI accreditation, because it provides confidence and trust in the outputs of an accredited program.
A certification voucher is included with the course and it is a requirement to take the certification exam if you are using grant funds to pay for your training. This is a performance-based certification for advanced practitioners – not managers – at the advanced skill level of cybersecurity. While managers help identify the cybersecurity policies and frameworks which could be implemented, CASP+ certified professionals determine and implement appropriate solutions.",Pacific Center for Advanced Technology Training,383190,
Com,2179,CySA+ Training and Certification Prep,"This is an intermediate level security course which covers both current and upcoming job skills used by threat intelligence analysts, application security analysts, compliance analysts, incident responders and handlers, and threat hunters. It provides new techniques for combating threats in and outside the Security Operations Center (SOC). Course topics include:
Security operations and monitoring
Software and systems security
Incident response
Automation
Threat and vulnerability management
IT regulatory compliance and assessment
CompTIA CySA+ meets the ISO 17024 standard and is approved by U.S. Department of Defense (DoD) to fulfill Directive 8570.01-M requirements. It also meets the KSAT requirements of various DoD Cyberspace Workforce (DCWF) work roles identified in Directive 8140, as mapped by the U.S. Institute of Defense Analysis (IDA). It is compliant with government regulations under the Federal Information Security Management Act (FISMA).
All course materials are provided. A certification exam voucher is included with the course",Pacific Center for Advanced Technology Training,383190,"Course Outline: This is an intermediate level security course which covers both current and upcoming job skills used by threat intelligence analysts, application security analysts, compliance analysts, incident responders and handlers, and threat hunters. It provides new techniques for combating threats in and outside the Security Operations Center (SOC).

Learner Outcomes: Completion of training and passing the CySA+ certification will verify the participant has the knowledge and skills required to:Leverage intelligence and threat detection techniquesAnalyze and interpret dataIdentify and address vulnerabilitiesSuggest preventative measuresEffectively respond to and recover from incidents

Prerequisites: 1. Completion of Network+ and Security+ or equivalent knowledge and/or experience.2. 3 to 5 years of hands-on information security or related experience is highly recommended.

Section Notes: Required preparation: Competition of Network+ and Security+ or equivalent knowledge and/or experience. Four years of hands-on information security or related experience is highly recommended."
